code,raw_code,market,name,fullname,board,source,updated,listed_date
BJ920000,920000,BJ,安徽凤凰,,,adata.stock.info.all_code,2026-05-16,
BJ920001,920001,BJ,纬达光电,,,adata.stock.info.all_code,2026-05-16,
BJ920002,920002,BJ,万达轴承,,,adata.stock.info.all_code,2026-05-16,
BJ920003,920003,BJ,中诚咨询,,,adata.stock.info.all_code,2026-05-16,
BJ920005,920005,BJ,鼎佳精密,,,adata.stock.info.all_code,2026-05-16,
BJ920006,920006,BJ,晟楠科技,,,adata.stock.info.all_code,2026-05-16,
BJ920007,920007,BJ,酉立智能,,,adata.stock.info.all_code,2026-05-16,
BJ920008,920008,BJ,成电光信,,,adata.stock.info.all_code,2026-05-16,
BJ920009,920009,BJ,丹娜生物,,,adata.stock.info.all_code,2026-05-16,
BJ920010,920010,BJ,凯添燃气,,,adata.stock.info.all_code,2026-05-16,
BJ920011,920011,BJ,晨光电机,,,adata.stock.info.all_code,2026-05-16,
BJ920012,920012,BJ,创达新材,,,adata.stock.info.all_code,2026-05-16,
BJ920014,920014,BJ,特瑞斯,,,adata.stock.info.all_code,2026-05-16,
BJ920015,920015,BJ,锦华新材,,,adata.stock.info.all_code,2026-05-16,
BJ920016,920016,BJ,中草香料,,,adata.stock.info.all_code,2026-05-16,
BJ920017,920017,BJ,星昊医药,,,adata.stock.info.all_code,2026-05-16,
BJ920018,920018,BJ,宏远股份,,,adata.stock.info.all_code,2026-05-16,
BJ920019,920019,BJ,铜冠矿建,,,adata.stock.info.all_code,2026-05-16,
BJ920020,920020,BJ,泰凯英,,,adata.stock.info.all_code,2026-05-16,
BJ920021,920021,BJ,流金科技,,,adata.stock.info.all_code,2026-05-16,
BJ920022,920022,BJ,世昌股份,,,adata.stock.info.all_code,2026-05-16,
BJ920023,920023,BJ,*ST田野,,,adata.stock.info.all_code,2026-05-16,
BJ920026,920026,BJ,卓兆点胶,,,adata.stock.info.all_code,2026-05-16,
BJ920027,920027,BJ,交大铁发,,,adata.stock.info.all_code,2026-05-16,
BJ920028,920028,BJ,新恒泰,,,adata.stock.info.all_code,2026-05-16,
BJ920029,920029,BJ,开发科技,,,adata.stock.info.all_code,2026-05-16,
BJ920030,920030,BJ,德众汽车,,,adata.stock.info.all_code,2026-05-16,
BJ920033,920033,BJ,康普化学,,,adata.stock.info.all_code,2026-05-16,
BJ920035,920035,BJ,精创电气,,,adata.stock.info.all_code,2026-05-16,
BJ920036,920036,BJ,觅睿科技,,,adata.stock.info.all_code,2026-05-16,
BJ920037,920037,BJ,广信科技,,,adata.stock.info.all_code,2026-05-16,
BJ920039,920039,BJ,国义招标,,,adata.stock.info.all_code,2026-05-16,
BJ920045,920045,BJ,蘅东光,,,adata.stock.info.all_code,2026-05-16,
BJ920046,920046,BJ,亿能电力,,,adata.stock.info.all_code,2026-05-16,
BJ920047,920047,BJ,诺思兰德,,,adata.stock.info.all_code,2026-05-16,
BJ920050,920050,BJ,爱舍伦,,,adata.stock.info.all_code,2026-05-16,
BJ920055,920055,BJ,隆源股份,,,adata.stock.info.all_code,2026-05-16,
BJ920056,920056,BJ,能之光,,,adata.stock.info.all_code,2026-05-16,
BJ920057,920057,BJ,百甲科技,,,adata.stock.info.all_code,2026-05-16,
BJ920058,920058,BJ,华洋赛车,,,adata.stock.info.all_code,2026-05-16,
BJ920060,920060,BJ,万源通,,,adata.stock.info.all_code,2026-05-16,
BJ920061,920061,BJ,西磁科技,,,adata.stock.info.all_code,2026-05-16,
BJ920062,920062,BJ,科润智控,,,adata.stock.info.all_code,2026-05-16,
BJ920066,920066,BJ,科拜尔,,,adata.stock.info.all_code,2026-05-16,
BJ920068,920068,BJ,天工股份,,,adata.stock.info.all_code,2026-05-16,
BJ920069,920069,BJ,普昂医疗,,,adata.stock.info.all_code,2026-05-16,
BJ920075,920075,BJ,柏星龙,,,adata.stock.info.all_code,2026-05-16,
BJ920076,920076,BJ,国亮新材,,,adata.stock.info.all_code,2026-05-16,
BJ920077,920077,BJ,吉林碳谷,,,adata.stock.info.all_code,2026-05-16,
BJ920078,920078,BJ,族兴新材,,,adata.stock.info.all_code,2026-05-16,
BJ920080,920080,BJ,奥美森,,,adata.stock.info.all_code,2026-05-16,
BJ920082,920082,BJ,方正阀门,,,adata.stock.info.all_code,2026-05-16,
BJ920086,920086,BJ,科马材料,,,adata.stock.info.all_code,2026-05-16,
BJ920087,920087,BJ,秋乐种业,,,adata.stock.info.all_code,2026-05-16,
BJ920088,920088,BJ,科力股份,,,adata.stock.info.all_code,2026-05-16,
